"trial"	"deck"	"gain"	"loss"	"subjID"
83	3	50	0	188
84	3	50	0	188
85	3	50	0	188
86	3	50	-50	188
87	3	50	-25	188
88	3	50	-50	188
89	3	50	0	188
90	3	50	0	188
91	3	50	-75	188
92	3	50	-50	188
93	3	50	0	188
94	3	50	0	188
95	3	50	0	188
96	3	50	-25	188
97	3	50	-25	188
98	3	50	0	188
99	3	50	-75	188
100	3	50	0	188
1	4	50	0	189
2	4	50	0	189
3	4	50	0	189
4	4	50	0	189
5	4	50	0	189
6	3	50	0	189
7	3	50	0	189
8	3	50	-50	189
9	3	50	0	189
10	3	50	-50	189
11	3	50	0	189
12	4	50	0	189
13	4	50	0	189
14	4	50	0	189
15	4	50	0	189
16	4	50	-250	189
17	4	50	0	189
18	4	50	0	189
19	1	100	0	189
20	2	100	0	189
21	4	50	0	189
22	4	50	0	189
23	2	100	0	189
24	4	50	0	189
25	1	100	0	189
26	2	100	0	189
27	3	50	-50	189
28	3	50	0	189
29	3	50	-50	189
30	3	50	-50	189
31	4	50	0	189
32	4	50	0	189
33	4	50	0	189
34	4	50	0	189
35	4	50	-250	189
36	4	50	0	189
37	4	50	0	189
38	4	50	0	189
39	4	50	0	189
40	4	50	0	189
41	1	100	-150	189
42	1	100	0	189
43	1	100	-300	189
44	3	50	0	189
45	3	50	-25	189
46	3	50	-75	189
47	2	100	0	189
48	2	100	0	189
49	2	100	0	189
50	4	50	0	189
51	2	100	0	189
52	2	100	0	189
53	2	100	-1250	189
54	2	100	0	189
55	2	100	0	189
56	2	100	0	189
57	2	100	0	189
58	4	50	0	189
59	4	50	0	189
60	1	100	0	189
61	4	50	-250	189
62	2	100	-1250	189
63	2	100	0	189
64	2	100	0	189
65	2	100	0	189
66	2	100	0	189
67	2	100	0	189
68	1	100	-200	189
69	1	100	0	189
70	1	100	-250	189
71	2	100	0	189
72	4	50	0	189
73	4	50	0	189
74	4	50	0	189
75	4	50	0	189
76	4	50	0	189
77	4	50	-250	189
78	4	50	0	189
79	4	50	0	189
80	4	50	0	189
81	4	50	0	189
82	2	100	-1250	189
83	4	50	0	189
84	4	50	0	189
85	4	50	0	189
86	2	100	0	189
87	2	100	0	189
88	2	100	0	189
89	2	100	0	189
90	2	100	0	189
91	4	50	0	189
92	2	100	0	189
93	2	100	0	189
94	4	50	0	189
95	4	50	0	189
96	2	100	0	189
97	3	50	0	189
98	3	50	0	189
99	3	50	0	189
100	3	50	-25	189
1	2	100	0	190
2	2	100	0	190
3	1	100	0	190
4	3	50	0	190
5	4	50	0	190
6	1	100	0	190
7	2	100	0	190
8	1	100	-150	190
9	2	100	0	190
10	2	100	0	190
11	2	100	0	190
12	2	100	0	190
13	4	50	0	190
14	2	100	0	190
15	2	100	-1250	190
16	1	100	0	190
17	1	100	-300	190
18	2	100	0	190
19	2	100	0	190
20	2	100	0	190
21	3	50	0	190
22	4	50	0	190
23	2	100	0	190
24	2	100	-1250	190
25	1	100	0	190
26	2	100	0	190
27	1	100	-200	190
28	3	50	-50	190
29	4	50	0	190
30	4	50	0	190
31	2	100	0	190
32	2	100	0	190
33	2	100	0	190
34	1	100	0	190
35	4	50	0	190
36	4	50	0	190
37	4	50	0	190
38	4	50	0	190
39	1	100	-250	190
40	1	100	-350	190
41	3	50	0	190
42	2	100	0	190
43	2	100	0	190
44	2	100	-1250	190
45	2	100	0	190
46	2	100	0	190
47	4	50	-250	190
48	3	50	-50	190
49	1	100	0	190
50	1	100	-350	190
51	3	50	0	190
52	2	100	0	190
53	3	50	-50	190
54	4	50	0	190
55	3	50	0	190
56	1	100	0	190
57	2	100	0	190
58	3	50	-50	190
59	4	50	0	190
60	2	100	0	190
61	2	100	0	190
62	1	100	-250	190
63	1	100	-200	190
64	2	100	0	190
65	2	100	0	190
66	1	100	0	190
67	3	50	-50	190
68	3	50	0	190
69	3	50	-25	190
70	3	50	-75	190
71	2	100	0	190
72	2	100	0	190
73	2	100	-1250	190
74	3	50	0	190
75	2	100	0	190
76	2	100	0	190
77	3	50	0	190
78	2	100	0	190
79	2	100	0	190
80	3	50	0	190
81	2	100	0	190
82	2	100	0	190
83	3	50	-25	190
84	2	100	0	190
85	2	100	0	190
86	3	50	-75	190
87	2	100	0	190
88	2	100	0	190
89	4	50	0	190
90	2	100	0	190
91	2	100	0	190
92	2	100	0	190
93	4	50	0	190
94	2	100	0	190
95	2	100	0	190
96	4	50	0	190
97	2	100	0	190
98	2	100	-1250	190
99	2	100	0	190
100	2	100	0	190
1	3	50	0	191
2	1	100	0	191
3	1	100	0	191
4	1	100	-150	191
5	3	50	0	191
6	3	50	-50	191
7	1	100	0	191
8	4	50	0	191
9	4	50	0	191
10	4	50	0	191
11	4	50	0	191
12	4	50	0	191
13	4	50	0	191
14	2	100	0	191
15	2	100	0	191
16	2	100	0	191
17	2	100	0	191
18	2	100	0	191
19	2	100	0	191
20	2	100	0	191
21	2	100	0	191
22	4	50	0	191
23	2	100	-1250	191
24	3	50	0	191
25	2	100	0	191
26	4	50	0	191
27	1	100	-300	191
28	3	50	-50	191
29	4	50	0	191
30	2	100	0	191
31	4	50	-250	191
32	2	100	0	191
33	1	100	0	191
34	3	50	0	191
35	3	50	-50	191
36	1	100	-200	191
37	4	50	0	191
38	2	100	0	191
39	3	50	0	191
40	1	100	0	191
41	2	100	-1250	191
42	4	50	0	191
43	1	100	-250	191
44	3	50	-50	191
45	2	100	0	191
46	4	50	0	191
47	1	100	-350	191
48	3	50	-50	191
49	1	100	0	191
50	4	50	0	191
51	3	50	0	191
52	1	100	-350	191
53	4	50	0	191
54	2	100	0	191
55	4	50	0	191
56	1	100	0	191
57	3	50	-25	191
58	2	100	0	191
59	2	100	0	191
60	2	100	0	191
61	3	50	-75	191
62	1	100	-250	191
63	4	50	0	191
64	2	100	0	191
65	2	100	-1250	191
66	4	50	0	191
67	1	100	-200	191
68	3	50	0	191
69	3	50	0	191
70	1	100	0	191
71	2	100	0	191
72	4	50	0	191
73	1	100	-300	191
74	3	50	0	191
75	4	50	-250	191
76	1	100	-150	191
77	2	100	0	191
78	2	100	0	191
79	4	50	0	191
80	1	100	0	191
81	2	100	0	191
82	4	50	0	191
83	1	100	0	191
84	3	50	-25	191
85	1	100	0	191
86	1	100	-300	191
87	4	50	0	191
88	2	100	0	191
89	2	100	0	191
90	2	100	0	191
91	2	100	0	191
92	4	50	0	191
93	1	100	0	191
94	3	50	-75	191
95	1	100	-350	191
96	4	50	0	191
97	2	100	0	191
98	2	100	0	191
99	4	50	0	191
100	1	100	0	191
1	2	100	0	192
2	1	100	0	192
3	3	50	0	192
4	4	50	0	192
5	1	100	0	192
6	1	100	-150	192
7	2	100	0	192
8	2	100	0	192
9	4	50	0	192
10	3	50	0	192
11	1	100	0	192
12	2	100	0	192
13	3	50	-50	192
14	1	100	-300	192
15	2	100	0	192
16	2	100	0	192
17	1	100	0	192
18	1	100	-200	192
19	2	100	0	192
20	3	50	0	192
21	2	100	0	192
22	1	100	0	192
23	4	50	0	192
24	3	50	-50	192
25	3	50	0	192
26	3	50	-50	192
27	2	100	-1250	192
28	1	100	-250	192
29	4	50	0	192
30	2	100	0	192
31	2	100	0	192
32	1	100	-350	192
33	2	100	0	192
34	4	50	0	192
35	2	100	0	192
36	4	50	0	192
37	2	100	-1250	192
38	2	100	0	192
39	1	100	0	192
40	1	100	-350	192
41	4	50	0	192
42	2	100	0	192
43	4	50	0	192
44	4	50	0	192
45	4	50	-250	192
46	1	100	0	192
47	2	100	0	192
48	1	100	-250	192
49	4	50	0	192
50	3	50	0	192
51	4	50	0	192
52	4	50	0	192
53	2	100	0	192
54	4	50	0	192
55	4	50	0	192
56	4	50	0	192
57	4	50	0	192
58	3	50	-50	192
59	2	100	0	192
60	4	50	0	192
61	4	50	0	192
62	4	50	-250	192
63	4	50	0	192
64	4	50	0	192
65	2	100	0	192
66	4	50	0	192
67	2	100	-1250	192
68	2	100	0	192
69	2	100	0	192
70	2	100	0	192
71	4	50	0	192
72	1	100	-200	192
